CountyFIPS,County,CNTY,VTD,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap
309,MCLENNAN,309,0085,3090085,6719,1549,548,1001,16,507,460,950,1150,463,687,15,361,292,643
339,MONTGOMERY,339,0069,3390069,6968,5821,4150,1671,558,192,774,959,4340,3178,1162,373,137,538,671
347,NACOGDOCHES,347,0047,3470047,7051,1225,1145,80,0,6,21,27,1029,973,56,0,0,11,11
363,PALO PINTO,363,0012,3630012,7300,575,450,125,6,11,93,102,474,393,81,2,5,62,66
201,HARRIS,201,0673,2010673,4890,4248,2841,1407,74,77,1180,1249,3423,2421,1002,53,49,826,870
203,HARRISON,203,0008,2030008,5391,3899,2359,1540,85,826,565,1364,2960,1908,1052,71,576,332,904
215,HIDALGO,215,0171,2150171,5723,40,4,36,3,2,36,36,34,1,33,0,2,33,33
215,HIDALGO,215,0088,2150088,5640,6615,177,6438,8,34,6410,6422,4574,124,4450,6,18,4434,4438
225,HOUSTON,225,0010,2250010,5886,386,285,101,3,52,33,82,301,240,61,3,34,17,50
231,HUNT,231,0434,2310434,5972,1846,1479,367,19,42,228,266,1466,1219,247,11,28,154,179
71,CHAMBERS,71,0007,710007,1558,3875,2493,1382,36,171,1090,1251,2947,2026,921,34,125,701,816
85,COLLIN,85,0012,850012,1641,2786,2095,691,156,172,282,441,2097,1617,480,103,118,184,298
89,COLORADO,89,0302,890302,1890,1276,1122,154,13,27,100,126,1059,950,109,11,16,71,87
113,DALLAS,113,4066,1134066,2723,4196,102,4094,22,87,3985,4055,2895,93,2802,19,51,2725,2774
113,DALLAS,113,2511,1132511,2391,2840,1571,1269,418,373,457,811,2306,1324,982,336,288,321,596
201,HARRIS,201,0341,2010341,4558,3733,175,3558,27,804,2750,3520,2495,151,2344,7,396,1942,2323
29,BEXAR,29,4106,294106,917,1591,160,1431,40,304,1116,1377,1038,133,905,32,189,690,860
29,BEXAR,29,3104,293104,708,3463,1896,1567,134,235,1167,1374,2819,1642,1177,92,174,863,1026
29,BEXAR,29,4143,294143,954,5097,923,4174,250,1574,2460,3855,3477,690,2787,151,1004,1619,2559
29,BEXAR,29,1125,291125,376,3469,1027,2442,208,445,1848,2214,2417,778,1639,133,294,1232,1485
29,BEXAR,29,3018,293018,622,2180,1566,614,60,52,473,517,1690,1235,455,40,27,358,383
41,BRAZOS,41,0058,410058,1249,1350,935,415,155,92,150,240,1276,907,369,148,76,134,210
309,MCLENNAN,309,0027,3090027,6659,2762,456,2306,48,1302,981,2215,1802,389,1413,37,747,617,1343
339,MONTGOMERY,339,0012,3390012,6905,6338,2315,4023,74,113,3750,3836,4301,1761,2540,38,69,2374,2423
409,SAN PATRICIO,409,0111,4090111,7655,221,179,42,0,1,41,42,185,150,35,0,1,34,35
439,TARRANT,439,1455,4391455,7987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,HARRIS,201,0487,2010487,4704,12011,545,11466,2595,2638,6158,8620,8570,448,8122,2157,1773,4127,5792
